Designator,Mid X,Mid Y,Rotation,Layer
C1,148.75,-84.0,270.0,bottom
C10,158.5,-76.25,90.0,top
C11,90.0005,-81.774001,180.0,top
C12,91.7785,-79.742001,90.0,top
C13,96.0005,-81.774001,180.0,top
C14,97.7785,-79.742001,90.0,top
C15,102.0005,-81.774001,180.0,top
C16,103.7785,-79.742001,90.0,top
C17,108.0005,-81.774001,180.0,top
C18,109.7785,-79.742001,90.0,top
C19,114.0005,-81.774001,180.0,top
C2,149.75,-84.0,270.0,bottom
C20,115.7785,-79.742001,90.0,top
C21,120.0005,-81.774001,180.0,top
C22,121.7785,-79.742001,90.0,top
C23,126.0005,-81.774001,180.0,top
C24,127.7785,-79.742001,90.0,top
C25,132.0005,-81.774001,180.0,top
C26,133.7785,-79.742001,90.0,top
C27,138.0005,-81.774001,180.0,top
C28,139.7785,-79.742001,90.0,top
C29,151.25,-76.475517,135.0,top
C3,155.25,-76.0,90.0,bottom
C30,150.5,-78.0,225.0,top
C4,155.75509,-77.499999,0.0,bottom
C5,156.75,-83.5,270.0,top
C6,153.25,-77.25,225.0,top
C7,156.444544,-81.694544,45.0,top
C8,159.5,-81.75,270.0,top
C9,159.75,-76.75,90.0,top
J2,166.0,-80.0,270.0,bottom
R1,150.5,-84.5,180.0,top
R2,151.75,-81.0,180.0,top
R3,165.25,-84.25,0.0,top
R4,165.25,-75.75,0.0,top
U1,153.5,-81.25,270.0,bottom
U10,126.0,-80.0,180.0,top
U11,132.0,-80.0,180.0,top
U12,138.0,-80.0,180.0,top
U13,149.0,-77.0,225.0,top
U2,165.0,-80.0,180.0,top
U3,158.75,-76.5,180.0,bottom
U4,90.0,-80.0,180.0,top
U5,96.0,-80.0,180.0,top
U6,102.0,-80.0,180.0,top
U7,108.0,-80.0,180.0,top
U8,114.0,-80.0,180.0,top
U9,120.0,-80.0,180.0,top
Y1,154.5,-79.75,315.0,top
