Designator,Mid X,Mid Y,Rotation,Layer
C1,-0.006918,25.541508,180.0,top
C10,31.0,-14.5,45.0,top
C11,-22.556668,-13.220881,135.0,top
C12,2.500001,28.0,90.0,top
C13,-24.677989,-12.513775,315.0,top
C14,4.250001,29.0,180.0,top
C15,-23.263775,-13.927989,135.0,top
C16,-8.11843,-29.375,240.0,top
C17,-8.984456,-28.875,240.0,top
C18,8.11843,-29.375,120.0,top
C19,8.984456,-28.875,120.0,top
C2,24.598349,-18.833631,45.0,top
C20,29.5,7.75,0.0,top
C21,29.5,6.75,0.0,top
C22,21.38157,21.625,240.0,top
C23,20.515544,22.125,240.0,top
C24,-21.38157,21.625,120.0,top
C25,-20.515544,22.125,120.0,top
C26,-29.5,7.75,0.0,top
C27,-29.5,6.75,0.0,top
C28,-21.999999,5.0,90.0,top
C29,-21.0,5.0,90.0,top
C3,21.062815,-18.480078,135.0,top
C4,1e-06,26.749999,0.0,top
C5,32.0,-11.0,315.0,top
C6,22.830582,-12.116117,45.0,top
C7,25.25,-16.25,315.0,top
C8,31.49264,-11.93934,315.0,top
C9,2.250001,30.499999,270.0,top
J2,13.75,17.75,135.0,top
J3,-13.75,17.75,225.0,top
R1,23.007359,-14.06066,315.0,top
R2,-3.0,28.5,90.0,top
U1,1e-06,29.499999,90.0,top
U10,-29.5,5.0,0.0,top
U11,-19.25,5.0,90.0,top
U2,27.25,-13.0,135.0,top
U3,4.25,27.525,180.0,top
U4,-25.5,-14.75,135.0,top
U5,-10.5,-28.0,240.0,top
U6,10.5,-28.0,120.0,top
U7,29.5,5.0,0.0,top
U8,19.0,23.0,240.0,top
U9,-19.0,23.0,120.0,top
Y1,22.653806,-16.889087,135.0,top
