Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,10p,C32949
C10,0603,1,22u,C59461
"C11, C13, C15, C17, C19, C21, C27, C29",0402,8,4u7,C23733
"C12, C14, C16, C18, C20, C22, C28, C30, C5, C6",0402,10,100n,C1525
C3,0402,1,10u,C15525
C4,0402,1,220n,C16772
C7,0402,1,1u,C52923
C9,0805,1,22u,C45783
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
R1,0402,1,510,C25123
"R2, R3",0402,2,5k1,C25905
R4,0402,1,10k,C25744
R5,0805,1,100,C17408
U1,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32G431KBUx,C1341901
"U12, U13, U4, U5, U6, U7, U8, U9",ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,8,LPS22HH,C2827824
U2,SOT-23-6,1,SRV05-4,C7420376
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
