Designator,Mid X,Mid Y,Rotation,Layer
C1,128.6,-119.0,90.0,top
C10,123.8,-91.4,158.0,top
C11,160.0,-86.8,180.0,top
C12,160.0,-85.8,180.0,top
C13,171.441806,-93.419239,120.0,top
C14,172.307831,-92.919239,120.0,top
C15,171.475129,-106.6,60.0,top
C16,172.341156,-107.1,60.0,top
C17,159.98904,-113.158903,0.0,top
C18,160.0,-114.161522,0.0,top
C19,148.524872,-106.6,300.0,top
C2,126.0,-121.2,180.0,top
C20,147.658846,-107.1,300.0,top
C21,148.547472,-93.422733,240.0,top
C22,147.692167,-92.91924,240.0,top
C27,161.8,-99.8,90.0,top
C28,160.0,-101.8,180.0,top
C29,129.897459,-120.4,180.0,top
C3,122.0,-115.0,90.0,top
C30,130.0,-119.41072,180.0,top
C4,128.546576,-109.321201,0.0,top
C5,127.2,-116.655051,0.0,top
C6,123.0,-115.6,90.0,top
C7,124.065231,-106.335682,90.0,top
C9,126.8,-93.5,180.0,top
J2,123.31,-100.0,270.0,top
R1,124.6,-116.707371,0.0,top
R2,123.4,-94.2,180.0,top
R3,123.4,-93.2,180.0,top
R4,121.51,-113.5,180.0,top
U1,126.8,-113.0,180.0,top
U12,160.0,-100.0,180.0,top
U13,131.0,-117.6,90.0,top
U2,126.6,-107.046966,0.0,top
U3,126.8,-87.0,248.0,top
U4,160.0,-84.0,180.0,top
U5,173.9,-92.0,120.0,top
U6,173.9,-108.0,60.0,top
U7,160.0,-116.0,0.0,top
U8,146.1,-108.0,300.0,top
U9,146.1,-92.0,240.0,top
Y1,126.0,-119.0,0.0,top
