Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C14, C16, C17, C18, C2, C21, C22, C23, C24, C30, C4, C6, C8",0402,16,100n,C1525
"C11, C13, C15, C28, C3, C5, C7, C9",0402,8,4u7,C23733
"C19, C29",0402,2,2u2,C12530
C20,0402,1,10u,C15525
"C25, C26",0402,2,10p,C32949
C27,0603,1,10u,C19702
"J2, J3",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,Conn_01x04_MountingPin,C160404
R1,1206,1,120,C17909
R3,0402,1,510,C25123
U1,HVSON-8-1EP_3x3mm_P0.65mm_EP1.6x2.4mm,1,TJA1044GTK/3,C2157795
U10,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,STM32G431KBUx,C1341901
U11,DFN-6-1EP_1.2x1.2mm_P0.4mm_EP0.3x0.94mm_PullBack,1,NCP176,C233363
"U2, U3, U4, U5, U6, U7, U8",ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,7,LPS22HH,C2827824
U9,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,ICM-42688-P,C1850418
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
