Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C6",0402,3,1u,
"C10, C11, C16, C17, C2, C7, C8, C9",0402,8,100n,
C12,0603,1,10u,
"C13, C14",0402,2,2.2u,
C15,0805,1,22u,
C18,0603,1,22u,
"C4, C5",0402,2,10p,
D1,0603,1,LED,
FB1,0805,1,FerriteBead,C32375
J5,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro,
"R1, R10, R11, R12, R13, R2, R3, R4",0402,8,22,
"R5, R6",0402,2,510,
"R7, R8, R9",0402,3,10k,
SW1,SW_SPST_TL3342,1,SW_Push,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F411CEUx,C60420
U2,SOT-23-6,1,SRV05-4,C7420376
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
