Designator,Mid X,Mid Y,Rotation,Layer
C1,56.103,-90.424,90.0,top
C10,53.346,-84.706,90.0,top
C11,58.166,-71.498,90.0,top
C12,52.33,-86.484,180.0,top
C13,51.314,-83.69,270.0,top
C14,52.33,-83.69,270.0,top
C15,46.227999,-101.981,0.0,top
C16,45.973999,-100.457,0.0,top
C17,41.529,-100.457,180.0,top
C18,41.528999,-101.727,180.0,top
C2,56.642,-73.022,0.0,top
C3,56.642,-74.037999,0.0,top
C4,63.754,-73.53,270.0,top
C5,61.468,-70.862999,180.0,top
C6,56.14,-66.929,0.0,top
C7,63.633,-76.832,0.0,top
C8,63.633,-77.848,0.0,top
C9,61.595,-85.595,180.0,top
D1,52.324,-95.504,90.0,top
FB1,56.134,-69.596,90.0,top
J5,59.182,-94.802,0.0,top
R1,46.355,-63.373,270.0,top
R10,43.688,-88.9,90.0,top
R11,41.148,-88.9,90.0,top
R12,46.863,-80.01,0.0,top
R13,41.783,-79.968,0.0,top
R2,43.815,-63.373,270.0,top
R3,41.275,-63.373,270.0,top
R4,46.736,-88.392,180.0,top
R5,59.182,-73.53,270.0,top
R6,52.324,-92.964,270.0,top
R7,50.292,-92.964,270.0,top
R8,50.292,-94.996,270.0,top
R9,63.627,-79.375,0.0,top
SW1,42.418,-57.531,270.0,top
U1,58.234,-80.704,270.0,top
U2,59.151,-89.281,90.0,top
U3,42.672,-95.504,90.0,top
Y2,61.468,-73.53,270.0,top
