Designator,Mid X,Mid Y,Rotation,Layer
C1,73.416,-87.864,270.0,top
C10,134.366,-120.396,270.0,top
C11,133.35,-87.884,270.0,top
C12,133.35,-120.396,270.0,top
C2,73.416,-120.376,270.0,top
C3,72.4,-87.864,270.0,top
C4,72.4,-120.376,270.0,top
C5,103.906,-87.884,270.0,top
C6,103.906,-120.396,270.0,top
C7,102.89,-87.884,270.0,top
C8,102.89,-120.396,270.0,top
C9,134.366,-87.884,270.0,top
J1,86.36,-111.76,270.0,top
J10,95.514,-101.082,270.0,bottom
J11,72.654,-95.489,90.0,bottom
J12,139.72,-101.052,90.0,top
J13,103.134,-95.504,90.0,bottom
J14,72.654,-111.745,90.0,bottom
J15,103.134,-111.76,90.0,bottom
J2,116.84,-111.76,270.0,top
J3,147.32,-111.76,270.0,top
J4,86.36,-95.504,270.0,top
J5,116.84,-95.503999,270.0,top
J6,147.32,-95.504,270.0,top
J7,78.76,-101.052,90.0,top
J8,109.24,-101.051999,90.0,top
J9,65.034,-101.067,270.0,bottom
R1,72.908,-83.8,0.0,top
R10,133.86,-84.836,0.0,top
R11,133.858,-116.332,0.0,top
R12,133.858,-117.348,0.0,top
R2,72.91,-84.816,0.0,top
R3,72.908,-116.312,0.0,top
R4,72.908,-117.328,0.0,top
R5,103.398,-83.82,0.0,top
R6,103.4,-84.836,0.0,top
R7,103.398,-116.332,0.0,top
R8,103.398,-117.348,0.0,top
R9,133.858,-83.82,0.0,top
U1,67.828,-86.086,0.0,top
U2,67.828,-118.598,0.0,top
U3,98.318,-86.106,0.0,top
U4,98.318,-118.618,0.0,top
U5,128.778,-86.106,0.0,top
U6,128.778,-118.618,0.0,top
